i=127000, p=1683679, at 3626.376839100034s
i=127500, p=1691069, at 3660.21779419994s
i=128000, p=1698089, at 3691.5952886999585s
i=128500, p=1705157, at 3722.971211099997s
i=129000, p=1712369, at 3754.8876528999535s
i=129500, p=1719721, at 3792.249283300014s
i=130000, p=1726951, at 3826.2302083999384s
i=130500, p=1734197, at 3860.1122837000294s
i=131000, p=1741427, at 3892.3568229000084s
i=131500, p=1748639, at 3924.052960800007s
i=132000, p=1755569, at 3953.094253999996s
i=132500, p=1763297, at 3986.98016799998s
i=133000, p=1770449, at 4018.2278600999853s
i=133500, p=1777687, at 4052.5773677999387s
i=134000, p=1784641, at 4082.387699999963s
i=134500, p=1791961, at 4116.2898142000195s
i=135000, p=1798987, at 4148.437325399951s
i=135500, p=1806223, at 4183.170291899936s
i=136000, p=1813367, at 4219.597274599946s
i=136500, p=1820677, at 4256.149429499987s
i=137000, p=1827673, at 4291.029776599957s
i=137500, p=1834717, at 4324.3786197999725s
i=138000, p=1842377, at 4361.586589899962s
i=138500, p=1849349, at 4393.167466199957s
i=139000, p=1856303, at 4425.828934199992s
i=139500, p=1863601, at 4460.3454330000095s
i=140000, p=1870669, at 4496.6208801999455s
i=140500, p=1877933, at 4531.089400499943s
i=141000, p=1885207, at 4569.898903699941s
i=141500, p=1892299, at 4606.111173399957s
i=142000, p=1899497, at 4643.3660830999725s
i=142500, p=1907029, at 4679.186434300034s
i=143000, p=1913993, at 4712.556303199963s
i=143500, p=1921177, at 4746.920392500004s
i=144000, p=1928261, at 4783.24026380002s
i=144500, p=1935617, at 4817.968293100013s
i=145000, p=1942751, at 4852.8573213999625s
i=145500, p=1949947, at 4890.100026699947s
i=146000, p=1957147, at 4925.476432599942s
i=146500, p=1964561, at 4962.2146722000325s
i=147000, p=1972207, at 4999.699490000028s
i=147500, p=1979491, at 5035.502699299948s
i=148000, p=1986769, at 5073.148292999947s
i=148500, p=1993933, at 5112.51702629996s
142913828922
